2026/09/04 10:23:00.308, 353.40 W, 600.00 W, 2737 MHz, 15368 MHz, 72, 98 %, 80122 MiB
2026/09/04 10:23:01.308, 433.86 W, 600.00 W, 2662 MHz, 15368 MHz, 74, 98 %, 80122 MiB
2026/09/04 10:23:02.310, 471.84 W, 600.00 W, 2737 MHz, 15368 MHz, 71, 98 %, 80122 MiB
2026/09/04 10:23:03.312, 352.74 W, 600.00 W, 2737 MHz, 15368 MHz, 71, 99 %, 80122 MiB
2026/09/04 10:23:04.312, 352.85 W, 600.00 W, 2745 MHz, 15368 MHz, 73, 98 %, 80122 MiB
2026/09/04 10:23:05.313, 366.09 W, 600.00 W, 2775 MHz, 15368 MHz, 74, 99 %, 80122 MiB
2026/09/04 10:23:06.313, 546.01 W, 600.00 W, 2655 MHz, 15368 MHz, 71, 98 %, 80122 MiB
2026/09/04 10:23:07.314, 366.92 W, 600.00 W, 2737 MHz, 15368 MHz, 72, 99 %, 80122 MiB
2026/09/04 10:23:08.315, 353.80 W, 600.00 W, 2745 MHz, 15368 MHz, 69, 99 %, 80122 MiB
2026/09/04 10:23:09.315, 351.70 W, 600.00 W, 2737 MHz, 15368 MHz, 67, 35 %, 80122 MiB
2026/09/04 10:23:10.316, 449.06 W, 600.00 W, 2685 MHz, 15368 MHz, 76, 99 %, 80122 MiB
2026/09/04 10:23:11.317, 463.87 W, 600.00 W, 2737 MHz, 15368 MHz, 75, 98 %, 80122 MiB
2026/09/04 10:23:12.317, 354.08 W, 600.00 W, 2737 MHz, 15368 MHz, 73, 99 %, 80122 MiB
2026/09/04 10:23:13.318, 351.60 W, 600.00 W, 2745 MHz, 15368 MHz, 69, 99 %, 80122 MiB
2026/09/04 10:23:14.318, 340.10 W, 600.00 W, 2805 MHz, 15368 MHz, 74, 99 %, 80122 MiB
2026/09/04 10:23:15.320, 541.33 W, 600.00 W, 2655 MHz, 15368 MHz, 76, 99 %, 80122 MiB
2026/09/04 10:23:16.320, 427.57 W, 600.00 W, 2737 MHz, 15368 MHz, 75, 98 %, 80122 MiB
2026/09/04 10:23:17.321, 362.15 W, 600.00 W, 2730 MHz, 15368 MHz, 72, 98 %, 80122 MiB
2026/09/04 10:23:18.321, 357.72 W, 600.00 W, 2737 MHz, 15368 MHz, 70, 99 %, 80122 MiB
2026/09/04 10:23:19.322, 357.75 W, 600.00 W, 2775 MHz, 15368 MHz, 76, 99 %, 80122 MiB
2026/09/04 10:23:20.322, 545.18 W, 600.00 W, 2655 MHz, 15368 MHz, 76, 99 %, 80122 MiB
2026/09/04 10:23:21.323, 402.05 W, 600.00 W, 2745 MHz, 15368 MHz, 75, 98 %, 80122 MiB
2026/09/04 10:23:22.325, 358.77 W, 600.00 W, 2730 MHz, 15368 MHz, 70, 100 %, 80122 MiB
2026/09/04 10:23:23.325, 369.40 W, 600.00 W, 2730 MHz, 15368 MHz, 74, 99 %, 80122 MiB
2026/09/04 10:23:24.326, 359.10 W, 600.00 W, 2745 MHz, 15368 MHz, 75, 98 %, 80122 MiB
2026/09/04 10:23:25.327, 547.32 W, 600.00 W, 2655 MHz, 15368 MHz, 77, 99 %, 80122 MiB
