2026/09/04 11:14:04.649, 400.42 W, 600.00 W, 2692 MHz, 15368 MHz, 77, 99 %, 92926 MiB
2026/09/04 11:14:05.650, 408.53 W, 600.00 W, 2707 MHz, 15368 MHz, 80, 100 %, 92926 MiB
2026/09/04 11:14:06.651, 399.44 W, 600.00 W, 2692 MHz, 15368 MHz, 80, 98 %, 92926 MiB
2026/09/04 11:14:07.651, 332.99 W, 600.00 W, 2812 MHz, 15368 MHz, 73, 0 %, 92926 MiB
2026/09/04 11:14:08.652, 291.46 W, 600.00 W, 2685 MHz, 15368 MHz, 82, 99 %, 92926 MiB
2026/09/04 11:14:09.652, 501.02 W, 600.00 W, 2662 MHz, 15368 MHz, 80, 99 %, 92926 MiB
2026/09/04 11:14:10.653, 503.25 W, 600.00 W, 2647 MHz, 15368 MHz, 83, 99 %, 92926 MiB
2026/09/04 11:14:11.654, 483.07 W, 600.00 W, 2700 MHz, 15368 MHz, 78, 99 %, 92926 MiB
2026/09/04 11:14:12.655, 405.72 W, 600.00 W, 2707 MHz, 15368 MHz, 79, 100 %, 92926 MiB
2026/09/04 11:14:13.655, 406.43 W, 600.00 W, 2685 MHz, 15368 MHz, 78, 98 %, 92926 MiB
2026/09/04 11:14:14.656, 403.73 W, 600.00 W, 2730 MHz, 15368 MHz, 79, 100 %, 92926 MiB
2026/09/04 11:14:15.656, 397.50 W, 600.00 W, 2685 MHz, 15368 MHz, 75, 35 %, 92926 MiB
2026/09/04 11:14:16.657, 159.85 W, 600.00 W, 2812 MHz, 15368 MHz, 77, 63 %, 92926 MiB
2026/09/04 11:14:17.658, 476.01 W, 600.00 W, 2662 MHz, 15368 MHz, 83, 99 %, 92926 MiB
2026/09/04 11:14:18.659, 504.91 W, 600.00 W, 2662 MHz, 15368 MHz, 80, 99 %, 92926 MiB
2026/09/04 11:14:19.659, 500.22 W, 600.00 W, 2662 MHz, 15368 MHz, 83, 100 %, 92926 MiB
2026/09/04 11:14:20.660, 429.57 W, 600.00 W, 2737 MHz, 15368 MHz, 79, 99 %, 92926 MiB
2026/09/04 11:14:21.660, 400.13 W, 600.00 W, 2685 MHz, 15368 MHz, 77, 99 %, 92926 MiB
2026/09/04 11:14:22.662, 400.89 W, 600.00 W, 2722 MHz, 15368 MHz, 79, 99 %, 92926 MiB
2026/09/04 11:14:23.663, 403.84 W, 600.00 W, 2700 MHz, 15368 MHz, 81, 100 %, 92926 MiB
2026/09/04 11:14:24.663, 279.30 W, 600.00 W, 2812 MHz, 15368 MHz, 73, 0 %, 92926 MiB
2026/09/04 11:14:25.664, 345.85 W, 600.00 W, 2670 MHz, 15368 MHz, 79, 99 %, 92926 MiB
2026/09/04 11:14:26.664, 489.24 W, 600.00 W, 2662 MHz, 15368 MHz, 80, 100 %, 92926 MiB
2026/09/04 11:14:27.665, 509.74 W, 600.00 W, 2662 MHz, 15368 MHz, 84, 99 %, 92926 MiB
2026/09/04 11:14:28.667, 487.40 W, 600.00 W, 2692 MHz, 15368 MHz, 78, 99 %, 92926 MiB
2026/09/04 11:14:29.668, 400.49 W, 600.00 W, 2745 MHz, 15368 MHz, 79, 99 %, 92926 MiB
2026/09/04 11:14:30.668, 409.22 W, 600.00 W, 2692 MHz, 15368 MHz, 78, 100 %, 92926 MiB
2026/09/04 11:14:31.669, 404.07 W, 600.00 W, 2700 MHz, 15368 MHz, 77, 99 %, 92926 MiB
2026/09/04 11:14:32.670, 412.03 W, 600.00 W, 2730 MHz, 15368 MHz, 79, 100 %, 92926 MiB
2026/09/04 11:14:33.670, 202.56 W, 600.00 W, 2812 MHz, 15368 MHz, 73, 0 %, 92926 MiB
2026/09/04 11:14:34.671, 448.12 W, 600.00 W, 2677 MHz, 15368 MHz, 80, 99 %, 92926 MiB
